M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
156;01:24:28;03:07:49;05:02:55;06:38:31.050;06:38:57.650;08:51;6.8
157;01:22:00;03:02:33;04:58:30;06:39:14.300;06:39:24.900;08:52;6.8
158;01:30:28;03:11:56;05:00:21;06:38:55.950;06:39:32.250;08:51;6.8
159;01:28:48;03:06:28;04:57:14;06:39:37.350;06:39:47.150;08:52;6.8
160;01:26:04;03:04:03;04:54:54;06:40:16.050;06:40:33.150;08:53;6.7
161;01:27:27;03:10:38;05:01:38;06:41:31.850;06:41:38.200;08:55;6.7
162;01:26:49;03:03:55;04:56:15;06:41:17.600;06:41:45.350;08:55;6.7
163;01:26:07;03:02:09;04:55:20;06:42:00.550;06:42:12.400;08:56;6.7
164;01:34:17;03:21:24;05:07:14;06:43:32.900;06:43:59.500;08:58;6.7
165;01:19:39;02:53:29;04:46:43;06:43:41.500;06:44:04.850;08:58;6.7
166;01:32:35;03:16:52;05:03:46;06:43:34.200;06:44:06.600;08:58;6.7
167;01:35:15;03:20:14;05:08:59;06:44:07.650;06:44:21.950;08:58;6.7
168;01:39:57;03:23:43;05:10:14;06:44:13.100;06:44:22.500;08:58;6.7
169;01:21:02;03:03:15;04:55:21;06:44:20.750;06:44:28.600;08:59;6.7
170;01:36:53;03:23:18;05:13:49;06:46:38.050;06:46:49.150;09:02;6.6
171;01:33:29;03:22:24;05:08:23;06:47:38.800;06:47:49.300;09:03;6.6
172;01:26:01;03:07:14;05:03:06;06:47:23.300;06:47:58.400;09:03;6.6
173;01:30:00;03:05:59;05:03:08;06:47:23.050;06:47:58.600;09:03;6.6
174;01:37:10;03:21:18;05:10:36;06:48:12.000;06:48:37.400;09:04;6.6
175;01:31:11;03:12:04;05:04:37;06:48:55.400;06:49:07.300;09:05;6.6
176;01:40:57;03:21:08;05:09:03;06:48:31.900;06:49:13.600;09:04;6.6
177;01:29:19;03:01:25;04:52:36;06:49:40.850;06:50:14.200;09:06;6.6
178;01:29:56;03:09:34;05:06:15;06:50:08.150;06:50:23.650;09:06;6.6
179;01:29:26;03:06:53;05:01:38;06:49:48.850;06:50:23.750;09:06;6.6
