M-ce;12km;26km;37.8km;Cz. netto;Cz. brutto;min/km;km/h;;;;;;;;;
150;01:08:33;03:02:39;04:49:56;06:57:43.400;06:57:54.700;08:01;7.5;;;;;;;;;
151;01:07:03;02:57:55;04:45:59;06:57:42.700;06:58:03.750;08:01;7.5;;;;;;;;;
152;01:16:54;03:14:34;04:59:10;06:58:22.600;06:58:38.200;08:02;7.5;;;;;;;;;
153;01:12:02;03:00:56;04:46:04;06:58:16.450;06:58:40.650;08:02;7.5;;;;;;;;;
154;01:07:31;03:00:01;04:51:40;06:58:45.800;06:58:51.600;08:03;7.5;;;;;;;;;
155;01:07:35;02:57:16;04:48:01;06:58:34.050;06:58:57.350;08:02;7.5;;;;;;;;;
156;01:08:17;02:58:00;04:45:50;06:59:25.350;06:59:38.350;08:03;7.4;;;;;;;;;
157;01:07:30;03:00:00;04:51:39;06:59:32.800;06:59:38.800;08:04;7.4;;;;;;;;;
158;01:04:44;03:03:26;04:52:41;06:59:45.700;06:59:49.400;08:04;7.4;;;;;;;;;
159;01:11:36;03:03:54;04:56:27;07:00:19.350;07:00:22.150;08:05;7.4;;;;;;;;;
160;01:06:01;02:52:45;04:49:52;07:00:22.700;07:00:50.600;08:05;7.4;;;;;;;;;
161;01:09:31;03:02:22;04:52:48;07:00:44.450;07:00:52.700;08:05;7.4;;;;;;;;;
162;01:10:00;03:03:26;04:51:14;07:00:48.300;07:01:12.700;08:05;7.4;;;;;;;;;
163;01:05:04;02:54:33;04:45:56;07:01:38.100;07:01:44.800;08:06;7.4;;;;;;;;;
164;01:06:20;02:57:52;04:48:10;07:01:55.950;07:02:01.500;08:06;7.4;;;;;;;;;
165;01:06:28;02:59:00;04:53:04;07:02:03.350;07:02:27.650;08:06;7.4;;;;;;;;;
166;01:11:17;03:09:47;04:59:00;07:02:48.950;07:03:12.150;08:07;7.4;;;;;;;;;
167;01:07:23;03:03:13;04:57:56;07:02:58.450;07:03:12.850;08:08;7.4;;;;;;;;;
168;01:05:47;02:51:50;04:48:24;07:03:08.750;07:03:14.200;08:08;7.4;;;;;;;;;
169;01:10:10;03:05:07;04:54:14;07:02:51.450;07:03:17.700;08:07;7.4;;;;;;;;;
170;01:09:36;02:55:39;04:48:58;07:03:12.850;07:03:19.650;08:08;7.4;;;;;;;;;
171;01:09:22;02:57:17;04:50:01;07:03:12.650;07:03:24.750;08:08;7.4;;;;;;;;;
172;01:12:27;03:00:33;04:57:49;07:02:58.850;07:03:30.650;08:08;7.4;;;;;;;;;
173;01:06:18;03:05:34;05:00:39;07:03:27.800;07:03:31.950;08:08;7.4;;;;;;;;;
174;01:06:18;03:05:35;05:00:40;07:03:27.500;07:03:31.950;08:08;7.4;;;;;;;;;
175;01:12:39;03:14:25;05:01:07;07:03:01.350;07:03:33.300;08:08;7.4;;;;;;;;;
176;01:03:57;02:46:44;04:50:17;07:03:25.400;07:03:35.250;08:08;7.4;;;;;;;;;
177;01:00:26;02:50:34;04:43:52;07:04:07.850;07:04:12.850;08:09;7.4;;;;;;;;;
178;01:09:15;02:59:09;04:47:08;07:03:48.800;07:04:23.450;08:09;7.4;;;;;;;;;
179;01:11:12;03:06:39;05:05:44;07:03:50.700;07:04:24.700;08:09;7.4;;;;;;;;;
180;01:05:56;03:01:14;04:56:56;07:04:12.400;07:04:30.400;08:09;7.4;;;;;;;;;
181;01:14:51;03:12:21;04:59:23;07:05:40.250;07:06:22.600;08:11;7.3;;;;;;;;;
182;01:11:59;03:10:06;05:00:04;07:05:52.550;07:06:25.850;08:11;7.3;;;;;;;;;
183;01:14:30;03:14:39;05:09:05;07:08:31.450;07:08:50.000;08:14;7.3;;;;;;;;;
184;01:14:56;03:17:06;05:03:10;07:08:21.850;07:09:01.600;08:14;7.3;;;;;;;;;
185;01:09:15;02:59:08;04:59:33;07:08:39.100;07:09:13.800;08:14;7.3;;;;;;;;;
186;01:06:20;03:02:35;04:58:26;07:09:09.950;07:09:22.250;08:15;7.3;;;;;;;;;
187;01:12:39;03:05:52;04:55:04;07:10:09.150;07:10:17.950;08:16;7.3;;;;;;;;;
188;01:14:21;03:16:12;05:04:12;07:10:13.500;07:10:20.350;08:16;7.3;;;;;;;;;
189;01:09:51;03:02:30;04:57:15;07:10:13.150;07:10:21.450;08:16;7.3;;;;;;;;;
190;01:08:35;03:05:42;05:00:44;07:10:34.300;07:10:43.900;08:16;7.2;;;;;;;;;
191;01:15:50;03:16:02;05:03:51;07:10:44.400;07:10:49.150;08:17;7.2;;;;;;;;;
192;01:10:40;03:05:34;05:04:46;07:10:36.150;07:10:50.950;08:16;7.2;;;;;;;;;
193;01:09:01;03:08:01;05:03:50;07:11:11.150;07:11:17.750;08:17;7.2;;;;;;;;;
194;01:17:54;03:16:33;05:05:07;07:11:33.400;07:11:36.850;08:17;7.2;;;;;;;;;
195;01:11:09;03:06:46;04:57:47;07:11:29.550;07:11:56.800;08:17;7.2;;;;;;;;;
196;01:16:20;03:12:41;04:57:55;07:11:17.900;07:12:00.700;08:17;7.2;;;;;;;;;
197;01:09:50;03:11:23;05:06:23;07:11:45.350;07:12:04.800;08:18;7.2;;;;;;;;;
198;01:11:53;03:10:08;05:05:42;07:11:30.100;07:12:08.850;08:17;7.2;;;;;;;;;
199;01:09:43;03:04:01;04:58:58;07:14:01.350;07:14:06.950;08:20;7.2;;;;;;;;;
200;01:10:07;03:03:32;05:01:55;07:13:59.250;07:14:29.350;08:20;7.2;;;;;;;;;
201;01:09:58;03:03:26;04:51:35;07:14:10.600;07:14:34.500;08:20;7.2;;;;;;;;;
202;01:12:30;03:12:37;05:06:39;07:15:03.100;07:15:16.800;08:21;7.2;;;;;;;;;
203;01:07:07;02:56:35;04:53:40;07:15:43.600;07:16:30.050;08:22;7.2;;;;;;;;;
204;01:09:08;03:02:56;05:01:13;07:16:42.550;07:17:11.250;08:23;7.1;;;;;;;;;
205;01:09:09;03:03:00;05:01:13;07:16:49.450;07:17:18.100;08:24;7.1;;;;;;;;;
206;01:08:58;03:01:57;05:01:02;07:16:58.000;07:17:25.200;08:24;7.1;;;;;;;;;
207;01:08:17;03:05:56;05:04:36;07:17:34.150;07:17:39.100;08:24;7.1;;;;;;;;;
208;01:13:56;03:10:21;05:06:04;07:17:34.250;07:18:07.600;08:24;7.1;;;;;;;;;
209;01:07:19;02:56:19;04:54:21;07:18:00.400;07:18:16.600;08:25;7.1;;;;;;;;;
210;01:08:03;03:00:01;04:55:29;07:18:17.500;07:18:20.900;08:25;7.1;;;;;;;;;
211;01:12:35;03:16:04;05:11:14;07:17:58.800;07:18:22.300;08:25;7.1;;;;;;;;;
212;01:10:20;03:06:32;05:07:59;07:18:12.400;07:18:23.400;08:25;7.1;;;;;;;;;
213;01:13:38;03:14:35;05:08:16;07:17:43.500;07:18:24.550;08:25;7.1;;;;;;;;;
214;01:08:53;03:07:53;05:10:04;07:18:33.200;07:18:51.250;08:26;7.1;;;;;;;;;
215;01:07:19;02:58:10;04:55:17;07:18:54.800;07:19:09.100;08:26;7.1;;;;;;;;;
216;01:08:23;03:06:53;05:03:02;07:19:32.300;07:19:51.700;08:27;7.1;;;;;;;;;
217;01:12:40;03:14:24;05:07:34;07:19:21.900;07:19:53.550;08:26;7.1;;;;;;;;;
218;01:05:50;03:01:12;05:01:06;07:19:59.200;07:20:12.200;08:27;7.1;;;;;;;;;
219;01:11:57;03:11:43;05:06:07;07:20:13.850;07:20:41.750;08:27;7.1;;;;;;;;;
220;01:11:10;03:11:19;05:03:58;07:20:29.050;07:20:56.450;08:28;7.1;;;;;;;;;
221;01:04:05;03:00:10;05:03:16;07:21:16.200;07:21:20.050;08:29;7.1;;;;;;;;;
222;01:11:55;03:14:15;05:06:20;07:21:19.750;07:21:30.200;08:29;7.1;;;;;;;;;
223;01:11:55;03:14:15;05:06:19;07:21:19.900;07:21:30.350;08:29;7.1;;;;;;;;;
224;01:13:39;03:14:36;05:08:17;07:20:56.300;07:21:36.300;08:28;7.1;;;;;;;;;
225;01:11:22;03:15:12;05:07:32;07:21:41.500;07:21:50.300;08:29;7.1;;;;;;;;;
226;01:07:34;03:00:59;05:04:12;07:21:46.850;07:22:08.100;08:29;7.1;;;;;;;;;
227;01:08:32;03:07:23;05:05:24;07:22:01.850;07:22:16.000;08:30;7.1;;;;;;;;;
228;01:16:06;03:13:06;05:11:02;07:22:12.000;07:22:42.700;08:30;7.1;;;;;;;;;
229;01:16:24;03:18:49;05:13:10;07:24:09.450;07:24:29.250;08:32;7;;;;;;;;;
230;01:12:04;03:05:11;04:57:34;07:24:11.950;07:24:40.750;08:32;7;;;;;;;;;
231;01:08:22;02:58:24;05:04:29;07:25:51.400;07:26:02.300;08:34;7;;;;;;;;;
232;01:12:22;03:14:56;05:13:23;07:26:21.400;07:26:35.700;08:35;7;;;;;;;;;
233;01:06:56;02:59:21;05:01:26;07:26:39.850;07:26:45.200;08:35;7;;;;;;;;;
234;01:03:34;02:54:03;05:00:19;07:27:08.400;07:27:14.150;08:35;7;;;;;;;;;
235;01:10:45;03:13:40;05:13:51;07:27:20.450;07:27:33.450;08:36;7;;;;;;;;;
236;01:08:38;03:06:34;05:04:26;07:27:34.100;07:27:39.300;08:36;7;;;;;;;;;
239;01:13:46;03:17:47;05:16:03;07:27:04.200;07:27:43.350;08:35;7;;;;;;;;;
240;01:09:46;03:10:05;05:13:47;07:27:37.750;07:27:44.300;08:36;7;;;;;;;;;
241;01:19:11;03:28:05;05:13:03;07:27:20.200;07:27:45.050;08:36;7;;;;;;;;;
242;01:11:07;03:11:39;05:11:19;07:27:38.700;07:27:53.500;08:36;7;;;;;;;;;
243;01:11:36;03:15:51;05:12:16;07:27:54.700;07:28:10.700;08:36;7;;;;;;;;;
244;01:12:55;03:16:12;05:13:20;07:28:04.700;07:28:23.000;08:37;7;;;;;;;;;
245;01:14:52;03:17:18;05:12:36;07:27:57.300;07:28:23.400;08:36;7;;;;;;;;;
246;01:07:39;03:09:18;05:08:01;07:28:49.750;07:29:01.500;08:37;7;;;;;;;;;
247;01:03:02;02:59:38;05:15:00;07:29:15.550;07:29:45.300;08:38;6.9;;;;;;;;;
248;01:11:21;03:14:33;05:12:07;07:29:53.100;07:30:05.350;08:39;6.9;;;;;;;;;
249;01:14:38;03:22:31;05:18:48;07:29:56.050;07:30:16.800;08:39;6.9;;;;;;;;;
250;01:11:54;03:11:34;05:10:52;07:29:54.000;07:30:19.350;08:39;6.9;;;;;;;;;
251;01:17:12;03:21:26;05:15:33;07:30:03.200;07:30:19.800;08:39;6.9;;;;;;;;;
252;01:06:56;03:01:24;05:03:31;07:30:20.300;07:30:29.800;08:39;6.9;;;;;;;;;
253;01:16:20;03:19:00;05:17:36;07:30:59.650;07:31:42.350;08:40;6.9;;;;;;;;;
254;01:14:12;03:16:50;05:15:57;07:32:04.050;07:32:22.100;08:41;6.9;;;;;;;;;
255;01:13:42;03:19:07;05:13:40;07:31:59.200;07:32:30.150;08:41;6.9;;;;;;;;;
256;01:12:32;03:14:57;05:16:17;07:32:11.300;07:32:35.200;08:41;6.9;;;;;;;;;
257;01:08:06;03:11:25;05:12:16;07:32:21.600;07:32:50.250;08:41;6.9;;;;;;;;;
