Id;5km;10km;15km;19.9km;Cz. netto;min/km;km/h;;;;;;;;
184;00:23:12;00:46:18;01:08:56;01:32:13;01:38:30.200;04:40;12.9;;;;;;;;
185;00:22:34;00:45:25;01:08:18;01:32:04;01:38:20.350;04:39;12.9;;;;;;;;
186;00:22:49;00:45:48;01:08:40;01:32:13;01:38:35.550;04:40;12.8;;;;;;;;
187;00:23:30;00:46:45;01:09:42;01:32:30;01:38:44.100;04:40;12.8;;;;;;;;
188;00:21:54;00:44:53;01:08:16;01:32:19;01:38:49.500;04:40;12.8;;;;;;;;
189;00:22:33;00:45:12;01:08:16;01:32:21;01:38:50.100;04:41;12.8;;;;;;;;
190;00:23:29;00:46:44;01:09:38;01:33:13;01:38:26.150;04:39;12.9;;;;;;;;
191;00:23:26;00:46:17;01:08:32;01:31:49;01:37:58.850;04:38;12.9;;;;;;;;
192;00:21:06;00:43:01;01:06:03;01:32:08;01:39:02.550;04:41;12.8;;;;;;;;
193;00:22:33;00:45:16;01:08:09;01:32:20;01:38:53.900;04:41;12.8;;;;;;;;
194;00:22:35;00:45:40;01:08:53;01:32:41;01:38:53.050;04:41;12.8;;;;;;;;
195;00:21:03;00:43:12;01:06:42;01:32:11;01:39:04.750;04:41;12.8;;;;;;;;
196;00:22:37;00:45:36;01:08:48;01:32:51;01:39:14.950;04:42;12.8;;;;;;;;
197;00:22:02;00:45:08;01:08:23;01:32:46;01:39:12.900;04:42;12.8;;;;;;;;
198;00:23:13;00:46:26;01:09:23;01:32:39;01:38:42.600;04:40;12.8;;;;;;;;
199;00:21:42;00:43:48;01:06:07;01:31:48;01:39:27.550;04:42;12.7;;;;;;;;
200;00:22:51;00:45:36;01:08:40;01:32:58;01:39:11.000;04:42;12.8;;;;;;;;
201;00:22:47;00:46:03;01:09:14;01:33:02;01:39:14.350;04:42;12.8;;;;;;;;
202;00:23:20;00:46:36;01:09:56;01:33:45;01:39:28.250;04:42;12.7;;;;;;;;
203;00:22:26;00:45:22;01:08:32;01:32:57;01:39:21.350;04:42;12.7;;;;;;;;
204;00:24:10;00:47:47;01:10:39;01:33:32;01:39:35.450;04:43;12.7;;;;;;;;
205;00:24:19;00:46:57;01:09:26;01:32:19;01:38:22.650;04:39;12.9;;;;;;;;
206;00:23:03;00:46:26;01:09:37;01:33:32;01:39:47.800;04:43;12.7;;;;;;;;
207;00:22:33;00:45:40;01:09:02;01:33:22;01:39:39.600;04:43;12.7;;;;;;;;
208;00:21:06;00:42:57;01:06:37;01:32:59;01:40:01.500;04:44;12.7;;;;;;;;
209;00:23:29;00:46:45;01:10:04;01:33:52;01:39:53.850;04:44;12.7;;;;;;;;
